-1	-1	3	-1	4	-1
6	-1	-1	-1	-1	-1
-1	8	-1	-1	-1	-1
-1	-1	12	-1	13	-1
10007	10007	-1	-1	-1	10007
-1	-1	-1	-1	-1	23333
-1	-1	3	-1	4	-1
10003	-1	-1	-1	-1	10003
-1	-1	3	-1	4	-1
-1	-1	-1	16	-1	-1
18	-1	-1	-1	-1	-1
-1	20	-1	-1	-1	-1
-1	-1	12	-1	13	-1
10007	10007	-1	10007	-1	-1
6	-1	-1	-1	-1	-1
-1	8	-1	-1	-1	-1
10006	10006	-1	-1	-1	10006
-1	-1	-1	-1	-1	-1
-1	-1	12	-1	13	-1
10003	-1	-1	10003	-1	-1
-1	-1	12	-1	13	-1
-1	-1	-1	26	-1	-1
-1	-1	-1	-1	-1	10001
10004	-1	-1	-1	-1	10004
18	-1	-1	-1	-1	-1
-1	20	-1	-1	-1	-1
10006	10006	-1	10006	-1	-1
-1	-1	-1	10001	-1	-1
10004	-1	-1	10004	-1	-1
